[0.001, 0.100, 0.500, 0.400]:3.9705631803123524
[0.001, 0.100, 0.500, 0.500]:3.9620307568329864
[0.001, 0.100, 0.500, 0.600]:3.9536121673003803
[0.001, 0.100, 0.500, 0.700]:3.945305148764164
[0.001, 0.100, 0.500, 0.800]:3.9371074978605756
[0.001, 0.100, 0.500, 0.900]:3.9290170688640367
[0.001, 0.100, 0.500, 0.999]:3.92111111111111
[0.001, 0.100, 0.600, 0.001]:3.9289366989275436
[0.001, 0.100, 0.600, 0.100]:3.921031771814697
[0.001, 0.100, 0.600, 0.200]:3.9131495707184816
[0.001, 0.100, 0.600, 0.300]:3.9053684818164327
[0.001, 0.100, 0.600, 0.400]:3.897686571920209
[0.001, 0.100, 0.600, 0.500]:3.890101956810842
[0.001, 0.100, 0.600, 0.600]:3.882612799697942
[0.001, 0.100, 0.600, 0.700]:3.875217309736727
[0.001, 0.100, 0.600, 0.800]:3.867913740600337
[0.001, 0.100, 0.600, 0.900]:3.860700389105058
[0.001, 0.100, 0.600, 0.999]:3.85364640883978
[0.001, 0.100, 0.700, 0.001]:3.860628705533596
[0.001, 0.100, 0.700, 0.100]:3.853575593886195
[0.001, 0.100, 0.700, 0.200]:3.846537734122384
[0.001, 0.100, 0.700, 0.300]:3.839585228306349
[0.001, 0.100, 0.700, 0.400]:3.8327165330600925
[0.001, 0.100, 0.700, 0.500]:3.825930141992691
[0.001, 0.100, 0.700, 0.600]:3.8192245845988912
[0.001, 0.100, 0.700, 0.700]:3.812598425196849
[0.001, 0.100, 0.700, 0.800]:3.80605026190336
[0.001, 0.100, 0.700, 0.900]:3.7995787256450764
[0.001, 0.100, 0.700, 0.999]:3.793246073298428
[0.001, 0.100, 0.800, 0.001]:3.7995143926983377
[0.001, 0.100, 0.800, 0.100]:3.793182479204235
[0.001, 0.100, 0.800, 0.200]:3.786860216297496
[0.001, 0.100, 0.800, 0.300]:3.7806106606865613
[0.001, 0.100, 0.800, 0.400]:3.774432565319306
[0.001, 0.100, 0.800, 0.500]:3.768324711500199
[0.001, 0.100, 0.800, 0.600]:3.7622859080888587
[0.001, 0.100, 0.800, 0.700]:3.756314990725647
[0.001, 0.100, 0.800, 0.800]:3.7504108210832263
[0.001, 0.100, 0.800, 0.900]:3.744572286143071
[0.001, 0.100, 0.800, 0.999]:3.7388557213930347
[0.001, 0.100, 0.900, 0.001]:3.7445142285460205
[0.001, 0.100, 0.900, 0.100]:3.738798297495993
[0.001, 0.100, 0.900, 0.200]:3.733087790665714
[0.001, 0.100, 0.900, 0.300]:3.72743972445465
[0.001, 0.100, 0.900, 0.400]:3.7218530803110226
[0.001, 0.100, 0.900, 0.500]:3.7163268617165106
[0.001, 0.100, 0.900, 0.600]:3.7108600935936744
[0.001, 0.100, 0.900, 0.700]:3.705451821732385
[0.001, 0.100, 0.900, 0.800]:3.7001011122345813
[0.001, 0.100, 0.900, 0.900]:3.694807050976657
[0.001, 0.100, 0.900, 0.999]:3.68962085308057
[0.001, 0.100, 0.999, 0.001]:3.695228512418577
[0.001, 0.100, 0.999, 0.100]:3.690037930671162
[0.001, 0.100, 0.999, 0.200]:3.6848495964783563
[0.001, 0.100, 0.999, 0.300]:3.679715358148264
[0.001, 0.100, 0.999, 0.400]:3.6746343740275904
[0.001, 0.100, 0.999, 0.500]:3.669605819832834
[0.001, 0.100, 0.999, 0.600]:3.664628888204496
